model,lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.01,0.9999573486262318,3.203701326500003e-05,0.004997774069340004,-0.007558647729814144,0.03266575453378744,4.037812588363967e-05,0.024450309312770598
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.02,0.9998273320228304,3.1465818473862644e-05,0.0049086676819225725,-0.012719800343728853,0.03266518333899631,6.530133554251831e-05,0.024504375292311163
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.03,0.9996068241397689,1.7353054025014837e-05,0.0027070764279023083,-0.016117933274280072,0.032651070574547456,8.576079984448484e-05,0.024535102264596858
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.04,0.9992926589234992,-1.730870705096639e-05,-0.0027001582999507563,-0.02149598073469263,0.032616408813471484,9.756359033464509e-05,0.024529913524061746
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.05,0.9988816345197051,-4.895675596529591e-05,-0.007637253930586158,-0.028075790868694786,0.03258476076455715,0.00011426933368352652,0.02454474220486382
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.06,0.9983705178814605,-9.542421752428031e-05,-0.014886177933787735,-0.036224843147446666,0.03253829330299817,0.00012502673981267573,0.02453294761283352
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.08,0.9970349503244176,-0.00018228926367659616,-0.028437125133549027,-0.05291455863554997,0.032451428256845855,0.00015549248406997445,0.024521441855402126
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.1,0.9952596696637571,-0.0002960952641258682,-0.046190861203635504,-0.07237256237528164,0.03233762225639658,0.00017581068779010472,0.024468651169948015
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.12,0.9930182566547818,-0.00043509866820580837,-0.06787539224010607,-0.09583190079136585,0.03219861885231664,0.0001891310378928987,0.02438569245077329
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.15,0.9887246316820424,-0.0006525045704775163,-0.10179071299449248,-0.12946422639205601,0.03198121295004493,0.00021832324085643658,0.024260861578822412
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.2,0.9788715391710684,-0.0010296355176183341,-0.16062314074846018,-0.188220051725682,0.031604082002904106,0.0002843430540662107,0.02406322955160794
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.25,0.9653272260786592,-0.0014960092856631572,-0.2333774485634525,-0.2566518584128146,0.03113770823485929,0.0003340690396638608,0.023707310485736006
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.3,0.9477863162059676,-0.002037876270909056,-0.31790869826181295,-0.33401010773267514,0.03059584124961339,0.0003961459634221074,0.02329122907856096
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.4,0.8999820635557533,-0.003343516706973146,-0.5215886062878108,-0.521664653630874,0.029290200813549303,0.0005352463024228497,0.022159384273159232
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.5,0.8354245522632913,-0.00487493476822265,-0.7604898238427327,-0.7610667386107208,0.027758782752299798,0.0007303066339435779,0.020861961088316852
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,0.75,0.6218600165473231,-0.009919431232587225,-1.5474312722836074,-1.549214365573952,0.022714286287935224,0.0011780304758928408,0.016634753502891925
xgb_strict_direct_medium_full_d4lr5e2_walkfwd,1.0,0.3958683646690878,-0.017954256332641798,-2.8008639878921215,-2.805697636853618,0.014679461187880646,0.0014229763463617544,0.010900083778534722
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.01,0.9999583392326923,-1.4215812363313719e-05,-0.0022176667286769405,-0.007448950421003955,0.03261950170815914,7.93535437212135e-06,0.024336631138419166
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.02,0.9998314230346386,-5.40928037832498e-05,-0.008438477390186975,-0.012594102412203554,0.0325796247167392,6.6678380137400184e-06,0.02429913918095769
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.03,0.9996163241976166,-0.00010644826502885,-0.016605929344500607,-0.018479906465379198,0.0325272692554936,4.094650799880149e-06,0.024247980540830435
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.04,0.999310083372776,-0.00016182715878947928,-0.025245036771158767,-0.027155646636355342,0.03247189036173297,4.483633190329522e-06,0.024206470239989498
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.05,0.9989097131240896,-0.00020681270587911518,-0.03226278211714197,-0.033083810621463504,0.03242690481464333,7.740797244230455e-06,0.02418164557594366
